ko_id,pathway_id,pathway_name
K23170,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K00887,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K00806,map00900,Terpenoid backbone biosynthesis [PATH:ko00900]
K00806,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K00806,map01006,Prenyltransferases [BR:ko01006]
K06153,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K06153,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K06153,map00552,Teichoic acid biosynthesis [PATH:ko00552]
K19302,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K19302,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K19302,map00552,Teichoic acid biosynthesis [PATH:ko00552]
K01000,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K01000,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K01000,map01502,Vancomycin resistance [PATH:ko01502]
K02563,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K02563,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K02563,map01502,Vancomycin resistance [PATH:ko01502]
K02563,map04112,Cell cycle - Caulobacter [PATH:ko04112]
K03814,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K03814,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K03814,map01003,Glycosyltransferases [BR:ko01003]
K05366,map01501,beta-Lactam resistance [PATH:ko01501]
K05366,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K05366,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K05366,map01003,Glycosyltransferases [BR:ko01003]
K05365,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K05365,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K05365,map01003,Glycosyltransferases [BR:ko01003]
K05367,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K05367,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K05367,map01003,Glycosyltransferases [BR:ko01003]
K12555,map01501,beta-Lactam resistance [PATH:ko01501]
K12555,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K12555,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K12555,map01003,Glycosyltransferases [BR:ko01003]
K18770,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K18770,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K18770,map01003,Glycosyltransferases [BR:ko01003]
K21464,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K21464,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K21464,map01003,Glycosyltransferases [BR:ko01003]
K05515,map01501,beta-Lactam resistance [PATH:ko01501]
K05515,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K05515,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K03587,map01501,beta-Lactam resistance [PATH:ko01501]
K03587,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K03587,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K03587,map03036,Chromosome and associated proteins [BR:ko03036]
K18149,map01501,beta-Lactam resistance [PATH:ko01501]
K18149,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K18149,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K08724,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K08724,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K08384,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K08384,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K21465,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K21465,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K05364,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K05364,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K07258,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K07258,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K07258,map01002,Peptidases and inhibitors [BR:ko01002]
K07259,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K07259,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K07259,map01002,Peptidases and inhibitors [BR:ko01002]
K21469,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K21469,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K21469,map01002,Peptidases and inhibitors [BR:ko01002]
K07260,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K07260,map01002,Peptidases and inhibitors [BR:ko01002]
K07260,map02020,Two-component system [PATH:ko02020]
K07260,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K07260,map01502,Vancomycin resistance [PATH:ko01502]
K07260,map01504,Antimicrobial resistance genes [BR:ko01504]
K23393,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K07009,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K11693,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K11693,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K12551,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K12551,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K12551,map01003,Glycosyltransferases [BR:ko01003]
K04478,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K04478,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K04478,map01003,Glycosyltransferases [BR:ko01003]
K12552,map01501,beta-Lactam resistance [PATH:ko01501]
K12552,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K12552,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K05363,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K05363,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K03693,map01501,beta-Lactam resistance [PATH:ko01501]
K03693,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
K03693,map00550,Peptidoglycan biosynthesis [PATH:ko00550]
K03693,map01003,Glycosyltransferases [BR:ko01003]
K05946,map00552,Teichoic acid biosynthesis [PATH:ko00552]
K05946,map01003,Glycosyltransferases [BR:ko01003]
K21285,map00552,Teichoic acid biosynthesis [PATH:ko00552]
K09809,map00552,Teichoic acid biosynthesis [PATH:ko00552]
K00712,map00552,Teichoic acid biosynthesis [PATH:ko00552]
K00712,map01003,Glycosyltransferases [BR:ko01003]
K03739,map05150,Staphylococcus aureus infection [PATH:ko05150]
K03739,map02020,Two-component system [PATH:ko02020]
K03739,map00552,Teichoic acid biosynthesis [PATH:ko00552]
K03739,map01503,Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]
K03739,map01504,Antimicrobial resistance genes [BR:ko01504]
K03740,map05150,Staphylococcus aureus infection [PATH:ko05150]
K03740,map02020,Two-component system [PATH:ko02020]
K03740,map00552,Teichoic acid biosynthesis [PATH:ko00552]
K03740,map01503,Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]
K03740,map01504,Antimicrobial resistance genes [BR:ko01504]
K01005,map00552,Teichoic acid biosynthesis [PATH:ko00552]
K21592,map00552,Teichoic acid biosynthesis [PATH:ko00552]
K18704,map00552,Teichoic acid biosynthesis [PATH:ko00552]
K21591,map00552,Teichoic acid biosynthesis [PATH:ko00552]
K22710,map00552,Teichoic acid biosynthesis [PATH:ko00552]
K22710,map01003,Glycosyltransferases [BR:ko01003]
K22708,map00552,Teichoic acid biosynthesis [PATH:ko00552]
K22708,map01003,Glycosyltransferases [BR:ko01003]
K13678,map00552,Teichoic acid biosynthesis [PATH:ko00552]
K13678,map01003,Glycosyltransferases [BR:ko01003]
K07271,map00552,Teichoic acid biosynthesis [PATH:ko00552]
K08256,map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]
K08256,map01003,Glycosyltransferases [BR:ko01003]
K13668,map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]
K13668,map01003,Glycosyltransferases [BR:ko01003]
K22311,map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]
K14335,map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]
K14335,map01003,Glycosyltransferases [BR:ko01003]
K13669,map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]
K13669,map01003,Glycosyltransferases [BR:ko01003]
K14340,map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]
K14340,map01003,Glycosyltransferases [BR:ko01003]
K14337,map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]
K14337,map01003,Glycosyltransferases [BR:ko01003]
K14339,map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]
K14339,map01003,Glycosyltransferases [BR:ko01003]
K13671,map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]
K13671,map01003,Glycosyltransferases [BR:ko01003]
K11387,map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]
K11387,map01003,Glycosyltransferases [BR:ko01003]
K13687,map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]
K13687,map01003,Glycosyltransferases [BR:ko01003]
K13687,map00572,Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]
K16647,map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]
K16647,map01003,Glycosyltransferases [BR:ko01003]
K16647,map00572,Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]
K16648,map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]
K16648,map01003,Glycosyltransferases [BR:ko01003]
K16648,map00572,Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]
K23176,map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]
K16870,map01003,Glycosyltransferases [BR:ko01003]
K16870,map00572,Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]
K16649,map01003,Glycosyltransferases [BR:ko01003]
K16649,map00572,Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]
K16650,map01003,Glycosyltransferases [BR:ko01003]
K16650,map00572,Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]
K13686,map01003,Glycosyltransferases [BR:ko01003]
K13686,map00572,Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]
K11385,map01003,Glycosyltransferases [BR:ko01003]
K11385,map00572,Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]
K11386,map01003,Glycosyltransferases [BR:ko01003]
K11386,map00572,Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]
K22902,map01003,Glycosyltransferases [BR:ko01003]
K22902,map00572,Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]
K03606,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K03606,map05111,Biofilm formation - Vibrio cholerae [PATH:ko05111]
K03208,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K03818,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K13683,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K13683,map01003,Glycosyltransferases [BR:ko01003]
K13684,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K13684,map01003,Glycosyltransferases [BR:ko01003]
K03819,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K16703,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K16703,map01003,Glycosyltransferases [BR:ko01003]
K16710,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K02852,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K02852,map01003,Glycosyltransferases [BR:ko01003]
K12582,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K12582,map01003,Glycosyltransferases [BR:ko01003]
K19294,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K19295,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K19296,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K19293,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K20997,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K20997,map02025,Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]
K20999,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K20999,map02025,Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]
K20999,map01003,Glycosyltransferases [BR:ko01003]
K21001,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K21001,map02025,Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]
K21001,map01003,Glycosyltransferases [BR:ko01003]
K21002,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K21002,map02025,Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]
K21002,map01003,Glycosyltransferases [BR:ko01003]
K11936,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K11936,map02026,Biofilm formation - Escherichia coli [PATH:ko02026]
K11936,map01003,Glycosyltransferases [BR:ko01003]
K11937,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K11937,map02026,Biofilm formation - Escherichia coli [PATH:ko02026]
K20922,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K20922,map05111,Biofilm formation - Vibrio cholerae [PATH:ko05111]
K20922,map01003,Glycosyltransferases [BR:ko01003]
K13657,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K13657,map01003,Glycosyltransferases [BR:ko01003]
K13659,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K13659,map01003,Glycosyltransferases [BR:ko01003]
K13663,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K13656,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K13656,map01003,Glycosyltransferases [BR:ko01003]
K13660,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K13660,map01003,Glycosyltransferases [BR:ko01003]
K13658,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K13658,map01003,Glycosyltransferases [BR:ko01003]
K13665,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K16566,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K16557,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K16557,map01003,Glycosyltransferases [BR:ko01003]
K16558,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K16558,map01003,Glycosyltransferases [BR:ko01003]
K16556,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K16556,map01003,Glycosyltransferases [BR:ko01003]
K16568,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K16555,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K16555,map01003,Glycosyltransferases [BR:ko01003]
K16564,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K16564,map01003,Glycosyltransferases [BR:ko01003]
K16562,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K16562,map01003,Glycosyltransferases [BR:ko01003]
K16560,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K16563,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K21154,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K16701,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K16701,map01003,Glycosyltransferases [BR:ko01003]
K16707,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K16702,map00543,Exopolysaccharide biosynthesis [PATH:ko00543]
K16702,map01003,Glycosyltransferases [BR:ko01003]
K03147,map00730,Thiamine metabolism [PATH:ko00730]
K00877,map00730,Thiamine metabolism [PATH:ko00730]
K00941,map00730,Thiamine metabolism [PATH:ko00730]
K14153,map00730,Thiamine metabolism [PATH:ko00730]
K21219,map00730,Thiamine metabolism [PATH:ko00730]
K18278,map00730,Thiamine metabolism [PATH:ko00730]
K03148,map04122,Sulfur relay system [PATH:ko04122]
K03148,map00730,Thiamine metabolism [PATH:ko00730]
K04487,map04122,Sulfur relay system [PATH:ko04122]
K04487,map00730,Thiamine metabolism [PATH:ko00730]
K04487,map03029,Mitochondrial biogenesis [BR:ko03029]
K04487,map02048,Prokaryotic defense system [BR:ko02048]
K04487,map03016,Transfer RNA biogenesis [BR:ko03016]
K03151,map04122,Sulfur relay system [PATH:ko04122]
K03151,map00730,Thiamine metabolism [PATH:ko00730]
K03151,map03016,Transfer RNA biogenesis [BR:ko03016]
K03150,map00730,Thiamine metabolism [PATH:ko00730]
K03153,map00730,Thiamine metabolism [PATH:ko00730]
K01662,map00900,Terpenoid backbone biosynthesis [PATH:ko00900]
K01662,map00730,Thiamine metabolism [PATH:ko00730]
K03149,map00730,Thiamine metabolism [PATH:ko00730]
K10810,map00730,Thiamine metabolism [PATH:ko00730]
K10810,map03000,Transcription factors [BR:ko03000]
K03146,map00730,Thiamine metabolism [PATH:ko00730]
K22699,map00730,Thiamine metabolism [PATH:ko00730]
K00878,map00730,Thiamine metabolism [PATH:ko00730]
K00878,map00740,Riboflavin metabolism [PATH:ko00740]
K00788,map00730,Thiamine metabolism [PATH:ko00730]
K14154,map00730,Thiamine metabolism [PATH:ko00730]
K00946,map00730,Thiamine metabolism [PATH:ko00730]
K06949,map03009,Ribosome biogenesis [BR:ko03009]
K06949,map00730,Thiamine metabolism [PATH:ko00730]
K22911,map00730,Thiamine metabolism [PATH:ko00730]
K01077,map00730,Thiamine metabolism [PATH:ko00730]
K01077,map04147,Exosome [BR:ko04147]
K01077,map02020,Two-component system [PATH:ko02020]
K01077,map00790,Folate biosynthesis [PATH:ko00790]
K01077,map00537,Glycosylphosphatidylinositol (GPI)-anchored proteins [BR:ko00537]
K01078,map00730,Thiamine metabolism [PATH:ko00730]
K01078,map00740,Riboflavin metabolism [PATH:ko00740]
K14394,map00730,Thiamine metabolism [PATH:ko00730]
K14394,map04520,Adherens junction [PATH:ko04520]
K14394,map00740,Riboflavin metabolism [PATH:ko00740]
K14394,map01009,Protein phosphatases and associated proteins [BR:ko01009]
K14394,map05208,Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]
K07251,map00730,Thiamine metabolism [PATH:ko00730]
K00949,map00730,Thiamine metabolism [PATH:ko00730]
K05307,map00730,Thiamine metabolism [PATH:ko00730]
K10811,map00730,Thiamine metabolism [PATH:ko00730]
K03707,map00730,Thiamine metabolism [PATH:ko00730]
K03707,map03000,Transcription factors [BR:ko03000]
K20895,map00730,Thiamine metabolism [PATH:ko00730]
K20896,map00730,Thiamine metabolism [PATH:ko00730]
K01497,map00790,Folate biosynthesis [PATH:ko00790]
K01497,map00740,Riboflavin metabolism [PATH:ko00740]
K01497,map02024,Quorum sensing [PATH:ko02024]
K14652,map00790,Folate biosynthesis [PATH:ko00790]
K14652,map00740,Riboflavin metabolism [PATH:ko00740]
K08096,map00740,Riboflavin metabolism [PATH:ko00740]
K00082,map00740,Riboflavin metabolism [PATH:ko00740]
K11752,map00740,Riboflavin metabolism [PATH:ko00740]
K11752,map02024,Quorum sensing [PATH:ko02024]
K14654,map00740,Riboflavin metabolism [PATH:ko00740]
K14655,map03016,Transfer RNA biogenesis [BR:ko03016]
K14655,map00740,Riboflavin metabolism [PATH:ko00740]
K22912,map00740,Riboflavin metabolism [PATH:ko00740]
K20860,map00740,Riboflavin metabolism [PATH:ko00740]
K20862,map00740,Riboflavin metabolism [PATH:ko00740]
K21064,map00740,Riboflavin metabolism [PATH:ko00740]
K02858,map00740,Riboflavin metabolism [PATH:ko00740]
K00794,map00740,Riboflavin metabolism [PATH:ko00740]
K00793,map00740,Riboflavin metabolism [PATH:ko00740]
K00861,map00740,Riboflavin metabolism [PATH:ko00740]
K20884,map00740,Riboflavin metabolism [PATH:ko00740]
K11753,map00740,Riboflavin metabolism [PATH:ko00740]
K07732,map00740,Riboflavin metabolism [PATH:ko00740]
K03788,map00740,Riboflavin metabolism [PATH:ko00740]
K09474,map02020,Two-component system [PATH:ko02020]
K09474,map00740,Riboflavin metabolism [PATH:ko00740]
K14379,map04142,Lysosome [PATH:ko04142]
K14379,map05323,Rheumatoid arthritis [PATH:ko05323]
K14379,map04380,Osteoclast differentiation [PATH:ko04380]
K14379,map00740,Riboflavin metabolism [PATH:ko00740]
K14410,map04142,Lysosome [PATH:ko04142]
K14410,map00740,Riboflavin metabolism [PATH:ko00740]
K00953,map00740,Riboflavin metabolism [PATH:ko00740]
K22949,map00740,Riboflavin metabolism [PATH:ko00740]
K14656,map00740,Riboflavin metabolism [PATH:ko00740]
K05901,map00860,Porphyrin metabolism [PATH:ko00860]
K05901,map00740,Riboflavin metabolism [PATH:ko00740]
K05368,map00740,Riboflavin metabolism [PATH:ko00740]
K23462,map00740,Riboflavin metabolism [PATH:ko00740]
K19285,map00740,Riboflavin metabolism [PATH:ko00740]
K19286,map00740,Riboflavin metabolism [PATH:ko00740]
K04719,map00740,Riboflavin metabolism [PATH:ko00740]
K15245,map00361,Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]
K15245,map00740,Riboflavin metabolism [PATH:ko00740]
K12152,map00740,Riboflavin metabolism [PATH:ko00740]
K03186,map00130,Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]
K03186,map00900,Terpenoid backbone biosynthesis [PATH:ko00900]
K03186,map00627,Aminobenzoate degradation [PATH:ko00627]
K03186,map00740,Riboflavin metabolism [PATH:ko00740]
K03186,map00940,Phenylpropanoid biosynthesis [PATH:ko00940]
K00275,map00750,Vitamin B6 metabolism [PATH:ko00750]
K23998,map00750,Vitamin B6 metabolism [PATH:ko00750]
K00868,map00750,Vitamin B6 metabolism [PATH:ko00750]
K13248,map00750,Vitamin B6 metabolism [PATH:ko00750]
K13248,map01009,Protein phosphatases and associated proteins [BR:ko01009]
K05275,map00750,Vitamin B6 metabolism [PATH:ko00750]
K03473,map00750,Vitamin B6 metabolism [PATH:ko00750]
K00097,map00750,Vitamin B6 metabolism [PATH:ko00750]
K03474,map00750,Vitamin B6 metabolism [PATH:ko00750]
K06215,map00750,Vitamin B6 metabolism [PATH:ko00750]
K08681,map00750,Vitamin B6 metabolism [PATH:ko00750]
K18607,map00750,Vitamin B6 metabolism [PATH:ko00750]
K18608,map00750,Vitamin B6 metabolism [PATH:ko00750]
K18609,map00750,Vitamin B6 metabolism [PATH:ko00750]
K18610,map00750,Vitamin B6 metabolism [PATH:ko00750]
K18611,map00750,Vitamin B6 metabolism [PATH:ko00750]
K18612,map00750,Vitamin B6 metabolism [PATH:ko00750]
K18613,map00750,Vitamin B6 metabolism [PATH:ko00750]
K18071,map00750,Vitamin B6 metabolism [PATH:ko00750]
K18614,map00750,Vitamin B6 metabolism [PATH:ko00750]
K06989,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K03517,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K00767,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K00763,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K10524,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K06211,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K06211,map03000,Transcription factors [BR:ko03000]
K18551,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K06210,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K19785,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K00952,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K13522,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K00969,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K03426,map04146,Peroxisome [PATH:ko04146]
K03426,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K01916,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K01950,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K03742,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K03743,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K01440,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K01440,map04213,Longevity regulating pathway - multiple species [PATH:ko04213]
K08281,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K03462,map04621,NOD-like receptor signaling pathway [PATH:ko04621]
K03462,map04052,Cytokines and neuropeptides [BR:ko04052]
K03462,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K11121,map03032,DNA replication proteins [BR:ko03032]
K11121,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K11121,map04213,Longevity regulating pathway - multiple species [PATH:ko04213]
K11121,map03036,Chromosome and associated proteins [BR:ko03036]
K11411,map04148,Efferocytosis [PATH:ko04148]
K11411,map05206,MicroRNAs in cancer [PATH:ko05206]
K11411,map05031,Amphetamine addiction [PATH:ko05031]
K11411,map04152,AMPK signaling pathway [PATH:ko04152]
K11411,map04922,Glucagon signaling pathway [PATH:ko04922]
K11411,map04211,Longevity regulating pathway [PATH:ko04211]
K11411,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K11411,map04212,Longevity regulating pathway - worm [PATH:ko04212]
K11411,map03029,Mitochondrial biogenesis [BR:ko03029]
K11411,map04218,Cellular senescence [PATH:ko04218]
K11411,map04936,Alcoholic liver disease [PATH:ko04936]
K11411,map04213,Longevity regulating pathway - multiple species [PATH:ko04213]
K11411,map03036,Chromosome and associated proteins [BR:ko03036]
K11411,map04310,Wnt signaling pathway [PATH:ko04310]
K11411,map04068,FoxO signaling pathway [PATH:ko04068]
K11412,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K11412,map03036,Chromosome and associated proteins [BR:ko03036]
K11413,map05230,Central carbon metabolism in cancer [PATH:ko05230]
K11413,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K11413,map03036,Chromosome and associated proteins [BR:ko03036]
K11414,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K11414,map03036,Chromosome and associated proteins [BR:ko03036]
K11415,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K11415,map03036,Chromosome and associated proteins [BR:ko03036]
K11416,map05230,Central carbon metabolism in cancer [PATH:ko05230]
K11416,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K11416,map04714,Thermogenesis [PATH:ko04714]
K11416,map03036,Chromosome and associated proteins [BR:ko03036]
K11417,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K11417,map03036,Chromosome and associated proteins [BR:ko03036]
K12410,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K00858,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K00322,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K00323,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K00324,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K00325,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K18029,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K18030,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K20445,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K20447,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K20448,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K14974,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K18028,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K15357,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K13995,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K20449,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K15358,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K19647,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
K20451,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760]
