biosample_id,pathway_id,pathway_name,n_metag_kos,n_metat_kos,n_shared_kos
nmdc:bsm-11-3p2mnz08,map03430,Mismatch repair [PATH:ko03430],38,32,31
nmdc:bsm-11-3p2mnz08,map03440,Homologous recombination [PATH:ko03440],44,39,36
nmdc:bsm-11-3p2mnz08,map03450,Non-homologous end-joining [PATH:ko03450],10,8,6
nmdc:bsm-11-3p2mnz08,map03460,Fanconi anemia pathway [PATH:ko03460],23,14,14
nmdc:bsm-11-3p2mnz08,map04010,MAPK signaling pathway [PATH:ko04010],16,33,15
nmdc:bsm-11-3p2mnz08,map04011,MAPK signaling pathway - yeast [PATH:ko04011],56,49,46
nmdc:bsm-11-3p2mnz08,map04012,ErbB signaling pathway [PATH:ko04012],8,15,8
nmdc:bsm-11-3p2mnz08,map04013,MAPK signaling pathway - fly [PATH:ko04013],12,25,12
nmdc:bsm-11-3p2mnz08,map04014,Ras signaling pathway [PATH:ko04014],20,28,19
nmdc:bsm-11-3p2mnz08,map04015,Rap1 signaling pathway [PATH:ko04015],9,23,9
nmdc:bsm-11-3p2mnz08,map04016,MAPK signaling pathway - plant [PATH:ko04016],7,9,6
nmdc:bsm-11-3p2mnz08,map04020,Calcium signaling pathway [PATH:ko04020],15,24,14
nmdc:bsm-11-3p2mnz08,map04022,cGMP-PKG signaling pathway [PATH:ko04022],17,29,17
nmdc:bsm-11-3p2mnz08,map04024,cAMP signaling pathway [PATH:ko04024],13,33,13
nmdc:bsm-11-3p2mnz08,map04030,G protein-coupled receptors [BR:ko04030],4,6,1
nmdc:bsm-11-3p2mnz08,map04031,GTP-binding proteins [BR:ko04031],26,38,23
nmdc:bsm-11-3p2mnz08,map04040,Ion channels [BR:ko04040],6,20,4
nmdc:bsm-11-3p2mnz08,map04052,Cytokines and neuropeptides [BR:ko04052],4,5,4
nmdc:bsm-11-3p2mnz08,map04054,Pattern recognition receptors [BR:ko04054],1,1,1
nmdc:bsm-11-3p2mnz08,map04060,Cytokine-cytokine receptor interaction [PATH:ko04060],0,0,0
nmdc:bsm-11-3p2mnz08,map04062,Chemokine signaling pathway [PATH:ko04062],14,22,13
nmdc:bsm-11-3p2mnz08,map04064,NF-kappa B signaling pathway [PATH:ko04064],5,7,5
nmdc:bsm-11-3p2mnz08,map04066,HIF-1 signaling pathway [PATH:ko04066],16,25,16
nmdc:bsm-11-3p2mnz08,map04068,FoxO signaling pathway [PATH:ko04068],19,27,18
nmdc:bsm-11-3p2mnz08,map04070,Phosphatidylinositol signaling system [PATH:ko04070],24,26,23
nmdc:bsm-11-3p2mnz08,map04071,Sphingolipid signaling pathway [PATH:ko04071],23,31,21
nmdc:bsm-11-3p2mnz08,map04072,Phospholipase D signaling pathway [PATH:ko04072],16,19,13
nmdc:bsm-11-3p2mnz08,map04075,Plant hormone signal transduction [PATH:ko04075],7,5,4
nmdc:bsm-11-3p2mnz08,map04080,Neuroactive ligand-receptor interaction [PATH:ko04080],5,5,3
nmdc:bsm-11-3p2mnz08,map04081,Hormone signaling [PATH:ko04081],12,18,11
nmdc:bsm-11-3p2mnz08,map04090,CD molecules [BR:ko04090],5,11,5
nmdc:bsm-11-3p2mnz08,map04091,Lectins [BR:ko04091],9,8,5
nmdc:bsm-11-3p2mnz08,map04110,Cell cycle [PATH:ko04110],60,39,30
nmdc:bsm-11-3p2mnz08,map04111,Cell cycle - yeast [PATH:ko04111],83,43,40
nmdc:bsm-11-3p2mnz08,map04112,Cell cycle - Caulobacter [PATH:ko04112],31,31,31
nmdc:bsm-11-3p2mnz08,map04113,Meiosis - yeast [PATH:ko04113],61,30,30
nmdc:bsm-11-3p2mnz08,map04114,Oocyte meiosis [PATH:ko04114],29,30,20
nmdc:bsm-11-3p2mnz08,map04115,p53 signaling pathway [PATH:ko04115],11,11,8
nmdc:bsm-11-3p2mnz08,map04120,Ubiquitin mediated proteolysis [PATH:ko04120],50,62,41
nmdc:bsm-11-3p2mnz08,map04121,Ubiquitin system [BR:ko04121],159,173,105
nmdc:bsm-11-3p2mnz08,map04122,Sulfur relay system [PATH:ko04122],25,20,19
nmdc:bsm-11-3p2mnz08,map04130,SNARE interactions in vesicular transport [PATH:ko04130],14,10,7
nmdc:bsm-11-3p2mnz08,map04131,Membrane trafficking [BR:ko04131],396,380,274
nmdc:bsm-11-3p2mnz08,map04136,Autophagy - other [PATH:ko04136],22,15,15
nmdc:bsm-11-3p2mnz08,map04137,Mitophagy - animal [PATH:ko04137],31,33,27
nmdc:bsm-11-3p2mnz08,map04138,Autophagy - yeast [PATH:ko04138],66,53,51
nmdc:bsm-11-3p2mnz08,map04139,Mitophagy - yeast [PATH:ko04139],26,22,20
nmdc:bsm-11-3p2mnz08,map04140,Autophagy - animal [PATH:ko04140],52,57,41
nmdc:bsm-11-3p2mnz08,map04141,Protein processing in endoplasmic reticulum [PATH:ko04141],69,78,56
nmdc:bsm-11-3p2mnz08,map04142,Lysosome [PATH:ko04142],49,67,45
nmdc:bsm-11-3p2mnz08,map04144,Endocytosis [PATH:ko04144],68,67,56
nmdc:bsm-11-3p2mnz08,map04145,Phagosome [PATH:ko04145],29,35,27
nmdc:bsm-11-3p2mnz08,map04146,Peroxisome [PATH:ko04146],51,47,44
nmdc:bsm-11-3p2mnz08,map04147,Exosome [BR:ko04147],199,230,181
nmdc:bsm-11-3p2mnz08,map04148,Efferocytosis [PATH:ko04148],23,28,19
nmdc:bsm-11-3p2mnz08,map04150,mTOR signaling pathway [PATH:ko04150],42,42,34
nmdc:bsm-11-3p2mnz08,map04151,PI3K-Akt signaling pathway [PATH:ko04151],32,47,30
nmdc:bsm-11-3p2mnz08,map04152,AMPK signaling pathway [PATH:ko04152],29,36,27
nmdc:bsm-11-3p2mnz08,map04210,Apoptosis [PATH:ko04210],13,28,12
nmdc:bsm-11-3p2mnz08,map04211,Longevity regulating pathway [PATH:ko04211],16,18,12
nmdc:bsm-11-3p2mnz08,map04212,Longevity regulating pathway - worm [PATH:ko04212],19,29,18
nmdc:bsm-11-3p2mnz08,map04213,Longevity regulating pathway - multiple species [PATH:ko04213],19,21,16
nmdc:bsm-11-3p2mnz08,map04214,Apoptosis - fly [PATH:ko04214],14,20,13
nmdc:bsm-11-3p2mnz08,map04215,Apoptosis - multiple species [PATH:ko04215],2,5,1
nmdc:bsm-11-3p2mnz08,map04216,Ferroptosis [PATH:ko04216],10,10,8
nmdc:bsm-11-3p2mnz08,map04217,Necroptosis [PATH:ko04217],23,28,21
nmdc:bsm-11-3p2mnz08,map04218,Cellular senescence [PATH:ko04218],26,29,22
nmdc:bsm-11-3p2mnz08,map04260,Cardiac muscle contraction [PATH:ko04260],17,26,17
nmdc:bsm-11-3p2mnz08,map04261,Adrenergic signaling in cardiomyocytes [PATH:ko04261],16,27,16
nmdc:bsm-11-3p2mnz08,map04270,Vascular smooth muscle contraction [PATH:ko04270],10,17,10
nmdc:bsm-11-3p2mnz08,map04310,Wnt signaling pathway [PATH:ko04310],14,28,13
nmdc:bsm-11-3p2mnz08,map04320,Dorso-ventral axis formation [PATH:ko04320],5,8,5
nmdc:bsm-11-3p2mnz08,map04330,Notch signaling pathway [PATH:ko04330],6,13,4
nmdc:bsm-11-3p2mnz08,map04340,Hedgehog signaling pathway [PATH:ko04340],7,14,6
nmdc:bsm-11-3p2mnz08,map04341,Hedgehog signaling pathway - fly [PATH:ko04341],7,12,6
nmdc:bsm-11-3p2mnz08,map04350,TGF-beta signaling pathway [PATH:ko04350],7,13,7
nmdc:bsm-11-3p2mnz08,map04360,Axon guidance [PATH:ko04360],14,25,13
nmdc:bsm-11-3p2mnz08,map04361,Axon regeneration [PATH:ko04361],17,24,15
nmdc:bsm-11-3p2mnz08,map04370,VEGF signaling pathway [PATH:ko04370],10,12,9
nmdc:bsm-11-3p2mnz08,map04371,Apelin signaling pathway [PATH:ko04371],18,23,15
nmdc:bsm-11-3p2mnz08,map04380,Osteoclast differentiation [PATH:ko04380],9,16,8
nmdc:bsm-11-3p2mnz08,map04390,Hippo signaling pathway [PATH:ko04390],10,22,8
nmdc:bsm-11-3p2mnz08,map04391,Hippo signaling pathway - fly [PATH:ko04391],7,16,5
nmdc:bsm-11-3p2mnz08,map04392,Hippo signaling pathway - multiple species [PATH:ko04392],6,7,4
nmdc:bsm-11-3p2mnz08,map04510,Focal adhesion [PATH:ko04510],18,38,17
nmdc:bsm-11-3p2mnz08,map04512,ECM-receptor interaction [PATH:ko04512],4,11,4
nmdc:bsm-11-3p2mnz08,map04514,Cell adhesion molecules [PATH:ko04514],1,6,0
nmdc:bsm-11-3p2mnz08,map04515,Cell adhesion molecules [BR:ko04515],0,6,0
nmdc:bsm-11-3p2mnz08,map04520,Adherens junction [PATH:ko04520],8,23,8
nmdc:bsm-11-3p2mnz08,map04530,Tight junction [PATH:ko04530],25,40,24
nmdc:bsm-11-3p2mnz08,map04540,Gap junction [PATH:ko04540],9,16,9
nmdc:bsm-11-3p2mnz08,map04550,Signaling pathways regulating pluripotency of stem cells [PATH:ko04550],6,13,5
nmdc:bsm-11-3p2mnz08,map04610,Complement and coagulation cascades [PATH:ko04610],0,0,0
nmdc:bsm-11-3p2mnz08,map04611,Platelet activation [PATH:ko04611],12,21,12
nmdc:bsm-11-3p2mnz08,map04612,Antigen processing and presentation [PATH:ko04612],5,14,5
nmdc:bsm-11-3p2mnz08,map04613,Neutrophil extracellular trap formation [PATH:ko04613],18,23,15
nmdc:bsm-11-3p2mnz08,map04614,Renin-angiotensin system [PATH:ko04614],4,5,4
nmdc:bsm-11-3p2mnz08,map04620,Toll-like receptor signaling pathway [PATH:ko04620],3,6,2
nmdc:bsm-11-3p2mnz08,map04621,NOD-like receptor signaling pathway [PATH:ko04621],19,23,17
nmdc:bsm-11-3p2mnz08,map04622,RIG-I-like receptor signaling pathway [PATH:ko04622],6,7,5
nmdc:bsm-11-3p2mnz08,map04623,Cytosolic DNA-sensing pathway [PATH:ko04623],15,15,10
nmdc:bsm-11-3p2mnz08,map04624,Toll and Imd signaling pathway [PATH:ko04624],3,10,3
nmdc:bsm-11-3p2mnz08,map04625,C-type lectin receptor signaling pathway [PATH:ko04625],9,14,9
nmdc:bsm-11-3p2mnz08,map04626,Plant-pathogen interaction [PATH:ko04626],13,19,13
nmdc:bsm-11-3p2mnz08,map04630,JAK-STAT signaling pathway [PATH:ko04630],5,8,4
nmdc:bsm-11-3p2mnz08,map04640,Hematopoietic cell lineage [PATH:ko04640],0,1,0
nmdc:bsm-11-3p2mnz08,map04650,Natural killer cell mediated cytotoxicity [PATH:ko04650],6,9,6
nmdc:bsm-11-3p2mnz08,map04657,IL-17 signaling pathway [PATH:ko04657],8,11,7
nmdc:bsm-11-3p2mnz08,map04658,Th1 and Th2 cell differentiation [PATH:ko04658],7,8,6
nmdc:bsm-11-3p2mnz08,map04659,Th17 cell differentiation [PATH:ko04659],7,10,7
nmdc:bsm-11-3p2mnz08,map04660,T cell receptor signaling pathway [PATH:ko04660],15,21,15
nmdc:bsm-11-3p2mnz08,map04662,B cell receptor signaling pathway [PATH:ko04662],6,10,6
nmdc:bsm-11-3p2mnz08,map04664,Fc epsilon RI signaling pathway [PATH:ko04664],6,11,6
nmdc:bsm-11-3p2mnz08,map04666,Fc gamma R-mediated phagocytosis [PATH:ko04666],20,24,18
nmdc:bsm-11-3p2mnz08,map04668,TNF signaling pathway [PATH:ko04668],5,13,4
nmdc:bsm-11-3p2mnz08,map04670,Leukocyte transendothelial migration [PATH:ko04670],8,19,8
nmdc:bsm-11-3p2mnz08,map04710,Circadian rhythm [PATH:ko04710],6,6,4
nmdc:bsm-11-3p2mnz08,map04711,Circadian rhythm - fly [PATH:ko04711],2,2,2
nmdc:bsm-11-3p2mnz08,map04712,Circadian rhythm - plant [PATH:ko04712],2,2,2
nmdc:bsm-11-3p2mnz08,map04713,Circadian entrainment [PATH:ko04713],7,15,7
nmdc:bsm-11-3p2mnz08,map04714,Thermogenesis [PATH:ko04714],79,90,61
nmdc:bsm-11-3p2mnz08,map04720,Long-term potentiation [PATH:ko04720],8,15,8
nmdc:bsm-11-3p2mnz08,map04721,Synaptic vesicle cycle [PATH:ko04721],21,29,21
nmdc:bsm-11-3p2mnz08,map04722,Neurotrophin signaling pathway [PATH:ko04722],12,26,12
nmdc:bsm-11-3p2mnz08,map04723,Retrograde endocannabinoid signaling [PATH:ko04723],34,40,27
nmdc:bsm-11-3p2mnz08,map04724,Glutamatergic synapse [PATH:ko04724],12,16,12
nmdc:bsm-11-3p2mnz08,map04725,Cholinergic synapse [PATH:ko04725],8,14,7
nmdc:bsm-11-3p2mnz08,map04726,Serotonergic synapse [PATH:ko04726],12,16,12
nmdc:bsm-11-3p2mnz08,map04727,GABAergic synapse [PATH:ko04727],12,14,11
nmdc:bsm-11-3p2mnz08,map04728,Dopaminergic synapse [PATH:ko04728],18,26,17
nmdc:bsm-11-3p2mnz08,map04730,Long-term depression [PATH:ko04730],8,11,8
nmdc:bsm-11-3p2mnz08,map04740,Olfactory transduction [PATH:ko04740],5,9,5
nmdc:bsm-11-3p2mnz08,map04742,Taste transduction [PATH:ko04742],1,4,1
nmdc:bsm-11-3p2mnz08,map04744,Phototransduction [PATH:ko04744],2,2,2
nmdc:bsm-11-3p2mnz08,map04745,Phototransduction - fly [PATH:ko04745],3,9,2
nmdc:bsm-11-3p2mnz08,map04750,Inflammatory mediator regulation of TRP channels [PATH:ko04750],7,12,7
nmdc:bsm-11-3p2mnz08,map04810,Regulation of actin cytoskeleton [PATH:ko04810],26,37,25
nmdc:bsm-11-3p2mnz08,map04812,Cytoskeleton proteins [BR:ko04812],92,115,69
nmdc:bsm-11-3p2mnz08,map04814,Motor proteins [PATH:ko04814],34,47,27
nmdc:bsm-11-3p2mnz08,map04820,Cytoskeleton in muscle cells [PATH:ko04820],17,29,14
nmdc:bsm-11-3p2mnz08,map04910,Insulin signaling pathway [PATH:ko04910],29,37,26
nmdc:bsm-11-3p2mnz08,map04911,Insulin secretion [PATH:ko04911],4,14,3
nmdc:bsm-11-3p2mnz08,map04912,GnRH signaling pathway [PATH:ko04912],10,18,10
nmdc:bsm-11-3p2mnz08,map04913,Ovarian steroidogenesis [PATH:ko04913],3,4,3
nmdc:bsm-11-3p2mnz08,map04914,Progesterone-mediated oocyte maturation [PATH:ko04914],20,19,11
nmdc:bsm-11-3p2mnz08,map04915,Estrogen signaling pathway [PATH:ko04915],12,18,12
nmdc:bsm-11-3p2mnz08,map04916,Melanogenesis [PATH:ko04916],9,14,8
nmdc:bsm-11-3p2mnz08,map04917,Prolactin signaling pathway [PATH:ko04917],7,11,7
nmdc:bsm-11-3p2mnz08,map04918,Thyroid hormone synthesis [PATH:ko04918],9,14,8
nmdc:bsm-11-3p2mnz08,map04919,Thyroid hormone signaling pathway [PATH:ko04919],22,29,19
nmdc:bsm-11-3p2mnz08,map04920,Adipocytokine signaling pathway [PATH:ko04920],9,15,8
nmdc:bsm-11-3p2mnz08,map04921,Oxytocin signaling pathway [PATH:ko04921],19,27,18
nmdc:bsm-11-3p2mnz08,map04922,Glucagon signaling pathway [PATH:ko04922],23,31,22
nmdc:bsm-11-3p2mnz08,map04923,Regulation of lipolysis in adipocytes [PATH:ko04923],7,13,7
nmdc:bsm-11-3p2mnz08,map04924,Renin secretion [PATH:ko04924],9,14,9
nmdc:bsm-11-3p2mnz08,map04925,Aldosterone synthesis and secretion [PATH:ko04925],8,16,7
nmdc:bsm-11-3p2mnz08,map04926,Relaxin signaling pathway [PATH:ko04926],11,17,10
nmdc:bsm-11-3p2mnz08,map04927,Cortisol synthesis and secretion [PATH:ko04927],2,7,2
nmdc:bsm-11-3p2mnz08,map04928,"Parathyroid hormone synthesis, secretion and action [PATH:ko04928]",9,15,8
nmdc:bsm-11-3p2mnz08,map04929,GnRH secretion [PATH:ko04929],3,12,3
nmdc:bsm-11-3p2mnz08,map04930,Type II diabetes mellitus [PATH:ko04930],5,10,5
nmdc:bsm-11-3p2mnz08,map04931,Insulin resistance [PATH:ko04931],18,27,16
nmdc:bsm-11-3p2mnz08,map04932,Non-alcoholic fatty liver disease [PATH:ko04932],37,53,31
nmdc:bsm-11-3p2mnz08,map04933,AGE-RAGE signaling pathway in diabetic complications [PATH:ko04933],13,19,12
nmdc:bsm-11-3p2mnz08,map04934,Cushing syndrome [PATH:ko04934],10,18,8
nmdc:bsm-11-3p2mnz08,map04935,"Growth hormone synthesis, secretion and action [PATH:ko04935]",10,20,10
nmdc:bsm-11-3p2mnz08,map04936,Alcoholic liver disease [PATH:ko04936],18,24,17
nmdc:bsm-11-3p2mnz08,map04940,Type I diabetes mellitus [PATH:ko04940],2,3,2
nmdc:bsm-11-3p2mnz08,map04950,Maturity onset diabetes of the young [PATH:ko04950],0,0,0
nmdc:bsm-11-3p2mnz08,map04960,Aldosterone-regulated sodium reabsorption [PATH:ko04960],4,7,4
nmdc:bsm-11-3p2mnz08,map04961,Endocrine and other factor-regulated calcium reabsorption [PATH:ko04961],9,15,9
nmdc:bsm-11-3p2mnz08,map04962,Vasopressin-regulated water reabsorption [PATH:ko04962],12,13,10
nmdc:bsm-11-3p2mnz08,map04964,Proximal tubule bicarbonate reclamation [PATH:ko04964],5,7,5
nmdc:bsm-11-3p2mnz08,map04966,Collecting duct acid secretion [PATH:ko04966],9,11,9
nmdc:bsm-11-3p2mnz08,map04970,Salivary secretion [PATH:ko04970],6,13,6
nmdc:bsm-11-3p2mnz08,map04971,Gastric acid secretion [PATH:ko04971],5,11,5
nmdc:bsm-11-3p2mnz08,map04972,Pancreatic secretion [PATH:ko04972],9,20,8
nmdc:bsm-11-3p2mnz08,map04973,Carbohydrate digestion and absorption [PATH:ko04973],4,10,4
nmdc:bsm-11-3p2mnz08,map04974,Protein digestion and absorption [PATH:ko04974],14,17,12
nmdc:bsm-11-3p2mnz08,map04975,Fat digestion and absorption [PATH:ko04975],5,6,3
nmdc:bsm-11-3p2mnz08,map04976,Bile secretion [PATH:ko04976],7,10,5
nmdc:bsm-11-3p2mnz08,map04977,Vitamin digestion and absorption [PATH:ko04977],2,5,2
nmdc:bsm-11-3p2mnz08,map04978,Mineral absorption [PATH:ko04978],8,10,7
nmdc:bsm-11-3p2mnz08,map04979,Cholesterol metabolism [PATH:ko04979],7,9,6
nmdc:bsm-11-3p2mnz08,map04980,Cobalamin transport and metabolism [PATH:ko04980],5,6,5
nmdc:bsm-11-3p2mnz08,map04981,Folate transport and metabolism [PATH:ko04981],11,12,11
nmdc:bsm-11-3p2mnz08,map04990,Domain-containing proteins not elsewhere classified [BR:ko04990],34,45,17
nmdc:bsm-11-3p2mnz08,map05010,Alzheimer disease [PATH:ko05010],115,139,104
nmdc:bsm-11-3p2mnz08,map05012,Parkinson disease [PATH:ko05012],105,124,96
nmdc:bsm-11-3p2mnz08,map05014,Amyotrophic lateral sclerosis [PATH:ko05014],138,147,114
nmdc:bsm-11-3p2mnz08,map05016,Huntington disease [PATH:ko05016],115,139,103
nmdc:bsm-11-3p2mnz08,map05017,Spinocerebellar ataxia [PATH:ko05017],58,62,53
nmdc:bsm-11-3p2mnz08,map05020,Prion disease [PATH:ko05020],98,118,91
nmdc:bsm-11-3p2mnz08,map05022,Pathways of neurodegeneration - multiple diseases [PATH:ko05022],137,166,121
nmdc:bsm-11-3p2mnz08,map05030,Cocaine addiction [PATH:ko05030],5,8,5
nmdc:bsm-11-3p2mnz08,map05031,Amphetamine addiction [PATH:ko05031],9,13,9
nmdc:bsm-11-3p2mnz08,map05032,Morphine addiction [PATH:ko05032],5,9,4
nmdc:bsm-11-3p2mnz08,map05033,Nicotine addiction [PATH:ko05033],2,2,1
nmdc:bsm-11-3p2mnz08,map05034,Alcoholism [PATH:ko05034],22,23,19
nmdc:bsm-11-3p2mnz08,map05100,Bacterial invasion of epithelial cells [PATH:ko05100],19,26,15
nmdc:bsm-11-3p2mnz08,map05110,Vibrio cholerae infection [PATH:ko05110],17,20,15
nmdc:bsm-11-3p2mnz08,map05111,Biofilm formation - Vibrio cholerae [PATH:ko05111],51,47,45
nmdc:bsm-11-3p2mnz08,map05120,Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120],18,22,17
nmdc:bsm-11-3p2mnz08,map05130,Pathogenic Escherichia coli infection [PATH:ko05130],30,41,30
nmdc:bsm-11-3p2mnz08,map05131,Shigellosis [PATH:ko05131],54,66,47
nmdc:bsm-11-3p2mnz08,map05132,Salmonella infection [PATH:ko05132],61,69,51
nmdc:bsm-11-3p2mnz08,map05133,Pertussis [PATH:ko05133],15,17,15
nmdc:bsm-11-3p2mnz08,map05134,Legionellosis [PATH:ko05134],14,17,14
nmdc:bsm-11-3p2mnz08,map05135,Yersinia infection [PATH:ko05135],21,26,19
nmdc:bsm-11-3p2mnz08,map05140,Leishmaniasis [PATH:ko05140],6,8,6
nmdc:bsm-11-3p2mnz08,map05142,Chagas disease [PATH:ko05142],9,14,9
nmdc:bsm-11-3p2mnz08,map05143,African trypanosomiasis [PATH:ko05143],5,8,5
nmdc:bsm-11-3p2mnz08,map05144,Malaria [PATH:ko05144],1,1,1
nmdc:bsm-11-3p2mnz08,map05145,Toxoplasmosis [PATH:ko05145],6,15,6
nmdc:bsm-11-3p2mnz08,map05146,Amoebiasis [PATH:ko05146],11,17,10
nmdc:bsm-11-3p2mnz08,map05150,Staphylococcus aureus infection [PATH:ko05150],8,7,7
nmdc:bsm-11-3p2mnz08,map05152,Tuberculosis [PATH:ko05152],26,31,24
nmdc:bsm-11-3p2mnz08,map05160,Hepatitis C [PATH:ko05160],15,20,12
nmdc:bsm-11-3p2mnz08,map05161,Hepatitis B [PATH:ko05161],9,19,8
nmdc:bsm-11-3p2mnz08,map05162,Measles [PATH:ko05162],11,14,10
nmdc:bsm-11-3p2mnz08,map05163,Human cytomegalovirus infection [PATH:ko05163],19,30,18
nmdc:bsm-11-3p2mnz08,map05164,Influenza A [PATH:ko05164],16,20,13
nmdc:bsm-11-3p2mnz08,map05165,Human papillomavirus infection [PATH:ko05165],45,68,41
nmdc:bsm-11-3p2mnz08,map05166,Human T-cell leukemia virus 1 infection [PATH:ko05166],39,43,29
nmdc:bsm-11-3p2mnz08,map05167,Kaposi sarcoma-associated herpesvirus infection [PATH:ko05167],17,25,16
nmdc:bsm-11-3p2mnz08,map05168,Herpes simplex virus 1 infection [PATH:ko05168],16,23,14
nmdc:bsm-11-3p2mnz08,map05169,Epstein-Barr virus infection [PATH:ko05169],27,33,24
nmdc:bsm-11-3p2mnz08,map05170,Human immunodeficiency virus 1 infection [PATH:ko05170],29,40,26
nmdc:bsm-11-3p2mnz08,map05171,Coronavirus disease - COVID-19 [PATH:ko05171],63,85,63
nmdc:bsm-11-3p2mnz08,map05200,Pathways in cancer [PATH:ko05200],43,71,39
nmdc:bsm-11-3p2mnz08,map05202,Transcriptional misregulation in cancer [PATH:ko05202],12,14,8
nmdc:bsm-11-3p2mnz08,map05203,Viral carcinogenesis [PATH:ko05203],41,46,29
nmdc:bsm-11-3p2mnz08,map05204,Chemical carcinogenesis - DNA adducts [PATH:ko05204],7,7,5
nmdc:bsm-11-3p2mnz08,map05205,Proteoglycans in cancer [PATH:ko05205],21,35,20
nmdc:bsm-11-3p2mnz08,map05206,MicroRNAs in cancer [PATH:ko05206],21,30,20
nmdc:bsm-11-3p2mnz08,map05207,Chemical carcinogenesis - receptor activation [PATH:ko05207],16,27,14
nmdc:bsm-11-3p2mnz08,map05208,Chemical carcinogenesis - reactive oxygen species [PATH:ko05208],66,82,59
nmdc:bsm-11-3p2mnz08,map05210,Colorectal cancer [PATH:ko05210],12,20,10
nmdc:bsm-11-3p2mnz08,map05211,Renal cell carcinoma [PATH:ko05211],9,18,8
nmdc:bsm-11-3p2mnz08,map05212,Pancreatic cancer [PATH:ko05212],9,15,8
nmdc:bsm-11-3p2mnz08,map05213,Endometrial cancer [PATH:ko05213],8,14,6
nmdc:bsm-11-3p2mnz08,map05214,Glioma [PATH:ko05214],8,12,7
nmdc:bsm-11-3p2mnz08,map05215,Prostate cancer [PATH:ko05215],9,17,9
nmdc:bsm-11-3p2mnz08,map05216,Thyroid cancer [PATH:ko05216],4,7,3
nmdc:bsm-11-3p2mnz08,map05217,Basal cell carcinoma [PATH:ko05217],4,6,2
nmdc:bsm-11-3p2mnz08,map05218,Melanoma [PATH:ko05218],4,6,3
nmdc:bsm-11-3p2mnz08,map05219,Bladder cancer [PATH:ko05219],3,4,3
nmdc:bsm-11-3p2mnz08,map05220,Chronic myeloid leukemia [PATH:ko05220],8,13,7
nmdc:bsm-11-3p2mnz08,map05221,Acute myeloid leukemia [PATH:ko05221],5,11,5
nmdc:bsm-11-3p2mnz08,map05222,Small cell lung cancer [PATH:ko05222],6,14,5
nmdc:bsm-11-3p2mnz08,map05223,Non-small cell lung cancer [PATH:ko05223],8,12,7
nmdc:bsm-11-3p2mnz08,map05224,Breast cancer [PATH:ko05224],10,18,8
nmdc:bsm-11-3p2mnz08,map05225,Hepatocellular carcinoma [PATH:ko05225],15,28,11
nmdc:bsm-11-3p2mnz08,map05226,Gastric cancer [PATH:ko05226],11,18,7
nmdc:bsm-11-3p2mnz08,map05230,Central carbon metabolism in cancer [PATH:ko05230],15,18,14
nmdc:bsm-11-3p2mnz08,map05231,Choline metabolism in cancer [PATH:ko05231],14,18,11
nmdc:bsm-11-3p2mnz08,map05235,PD-L1 expression and PD-1 checkpoint pathway in cancer [PATH:ko05235],9,12,9
nmdc:bsm-11-3p2mnz08,map05321,Inflammatory bowel disease [PATH:ko05321],0,0,0
nmdc:bsm-11-3p2mnz08,map05322,Systemic lupus erythematosus [PATH:ko05322],9,9,8
nmdc:bsm-11-3p2mnz08,map05323,Rheumatoid arthritis [PATH:ko05323],12,14,11
nmdc:bsm-11-3p2mnz08,map05340,Primary immunodeficiency [PATH:ko05340],3,2,2
nmdc:bsm-11-3p2mnz08,map05410,Hypertrophic cardiomyopathy [PATH:ko05410],9,14,8
nmdc:bsm-11-3p2mnz08,map05412,Arrhythmogenic right ventricular cardiomyopathy [PATH:ko05412],2,10,2
nmdc:bsm-11-3p2mnz08,map05414,Dilated cardiomyopathy [PATH:ko05414],6,12,6
nmdc:bsm-11-3p2mnz08,map05415,Diabetic cardiomyopathy [PATH:ko05415],66,88,60
nmdc:bsm-11-3p2mnz08,map05416,Viral myocarditis [PATH:ko05416],4,7,4
nmdc:bsm-11-3p2mnz08,map05417,Lipid and atherosclerosis [PATH:ko05417],24,38,24
nmdc:bsm-11-3p2mnz08,map05418,Fluid shear stress and atherosclerosis [PATH:ko05418],12,24,12
nmdc:bsm-11-3p2mnz08,map09113,Global maps only,0,0,0
nmdc:bsm-11-3p2mnz08,map99973,Transcription,11,7,6
nmdc:bsm-11-3p2mnz08,map99974,Translation,4,4,3
nmdc:bsm-11-3p2mnz08,map99975,Protein processing,28,27,27
nmdc:bsm-11-3p2mnz08,map99976,Replication and repair,45,41,41
nmdc:bsm-11-3p2mnz08,map99977,Transport,21,22,21
nmdc:bsm-11-3p2mnz08,map99978,Cell growth,24,28,20
nmdc:bsm-11-3p2mnz08,map99980,Enzymes with EC numbers,669,529,509
nmdc:bsm-11-3p2mnz08,map99981,Carbohydrate metabolism,17,13,13
nmdc:bsm-11-3p2mnz08,map99982,Energy metabolism,40,27,26
nmdc:bsm-11-3p2mnz08,map99983,Lipid metabolism,8,6,5
nmdc:bsm-11-3p2mnz08,map99984,Nucleotide metabolism,2,1,1
nmdc:bsm-11-3p2mnz08,map99985,Amino acid metabolism,13,10,10
nmdc:bsm-11-3p2mnz08,map99986,Glycan metabolism,14,13,12
nmdc:bsm-11-3p2mnz08,map99987,Cofactor metabolism,13,11,11
nmdc:bsm-11-3p2mnz08,map99988,Secondary metabolism,11,7,7
